Unix;Date;Close
1,6359E+12;03/11/2021;62896.48
1,63581E+12;02/11/2021;63219.99
1,63572E+12;01/11/2021;60911.11
1,63564E+12;31/10/2021;61299.8
1,63555E+12;30/10/2021;61859.19
1,63547E+12;29/10/2021;62253.71
1,63538E+12;28/10/2021;60575.89
1,63529E+12;27/10/2021;58413.44
1,63521E+12;26/10/2021;60328.81
1,63512E+12;25/10/2021;63078.78
1,63503E+12;24/10/2021;60852.22
1,63495E+12;23/10/2021;61286.75
1,63486E+12;22/10/2021;60688.22
1,63477E+12;21/10/2021;62193.15
1,63469E+12;20/10/2021;66001.41
1,6346E+12;19/10/2021;64280.59
1,63452E+12;18/10/2021;62009.84
1,63443E+12;17/10/2021;61528.33
1,63434E+12;16/10/2021;60875.57
1,63426E+12;15/10/2021;61672.42
1,63417E+12;14/10/2021;57347.94
1,63408E+12;13/10/2021;57367.0
1,634E+12;12/10/2021;55996.93
1,63391E+12;11/10/2021;57471.35
1,63382E+12;10/10/2021;54659.0
1,63374E+12;09/10/2021;54949.72
1,63365E+12;08/10/2021;53951.43
1,63356E+12;07/10/2021;53785.22
1,63348E+12;06/10/2021;55315.0
1,63339E+12;05/10/2021;51471.99
1,63331E+12;04/10/2021;49224.94
1,63322E+12;03/10/2021;48200.01
1,63313E+12;02/10/2021;47634.9
1,63305E+12;01/10/2021;48141.61
1,63296E+12;30/09/2021;43824.1
1,63287E+12;29/09/2021;41524.28
1,63279E+12;28/09/2021;41026.54
1,6327E+12;27/09/2021;42147.35
1,63261E+12;26/09/2021;43160.9
1,63253E+12;25/09/2021;42670.64
1,63244E+12;24/09/2021;42810.57
1,63236E+12;23/09/2021;44865.26
1,63227E+12;22/09/2021;43543.61
1,63218E+12;21/09/2021;40734.38
1,6321E+12;20/09/2021;43015.62
1,63201E+12;19/09/2021;47241.75
1,63192E+12;18/09/2021;48292.74
1,63184E+12;17/09/2021;47299.98
1,63175E+12;16/09/2021;47737.82
1,63166E+12;15/09/2021;48121.41
1,63158E+12;14/09/2021;47111.52
1,63149E+12;13/09/2021;44940.73
1,6314E+12;12/09/2021;46025.24
1,63132E+12;11/09/2021;45173.69
1,63123E+12;10/09/2021;44850.91
1,63115E+12;09/09/2021;46395.14
1,63106E+12;08/09/2021;46048.31
1,63097E+12;07/09/2021;46863.73
1,63089E+12;06/09/2021;52663.9
1,6308E+12;05/09/2021;51756.88
1,63071E+12;04/09/2021;49915.64
1,63063E+12;03/09/2021;49999.14
1,63054E+12;02/09/2021;49246.64
1,63045E+12;01/09/2021;48810.52
1,63037E+12;31/08/2021;47100.89
1,63028E+12;30/08/2021;46982.91
1,6302E+12;29/08/2021;48767.83
1,63011E+12;28/08/2021;48895.35
1,63002E+12;27/08/2021;49069.9
1,62994E+12;26/08/2021;46843.87
1,62985E+12;25/08/2021;48973.32
1,62976E+12;24/08/2021;47674.01
1,62968E+12;23/08/2021;49488.85
1,62959E+12;22/08/2021;49239.22
1,6295E+12;21/08/2021;48821.87
1,62942E+12;20/08/2021;49322.47
1,62933E+12;19/08/2021;46760.62
1,62924E+12;18/08/2021;44705.29
1,62916E+12;17/08/2021;44695.95
1,62907E+12;16/08/2021;45901.29
1,62899E+12;15/08/2021;46973.82
1,6289E+12;14/08/2021;47068.51
1,62881E+12;13/08/2021;47800.0
1,62873E+12;12/08/2021;44399.0
1,62864E+12;11/08/2021;45511.0
1,62855E+12;10/08/2021;45584.99
1,62847E+12;09/08/2021;46253.4
1,62838E+12;08/08/2021;43794.37
1,62829E+12;07/08/2021;44572.54
1,62821E+12;06/08/2021;42836.87
1,62812E+12;05/08/2021;40862.46
1,62804E+12;04/08/2021;39723.18
1,62795E+12;03/08/2021;38207.05
1,62786E+12;02/08/2021;39147.82
1,62778E+12;01/08/2021;39845.44
1,62769E+12;31/07/2021;41461.83
1,6276E+12;30/07/2021;42206.37
1,62752E+12;29/07/2021;40016.48
1,62743E+12;28/07/2021;40019.56
1,62734E+12;27/07/2021;39457.87
1,62726E+12;26/07/2021;37237.6
1,62717E+12;25/07/2021;35381.02
1,62708E+12;24/07/2021;34258.14
1,627E+12;23/07/2021;33634.09
1,62691E+12;22/07/2021;32287.83
1,62683E+12;21/07/2021;32144.51
1,62674E+12;20/07/2021;29790.35
1,62665E+12;19/07/2021;30839.65
1,62657E+12;18/07/2021;31778.56
1,62648E+12;17/07/2021;31520.07
1,62639E+12;16/07/2021;31383.87
1,62631E+12;15/07/2021;31880.0
1,62622E+12;14/07/2021;32820.02
1,62613E+12;13/07/2021;32729.77
1,62605E+12;12/07/2021;33086.63
1,62596E+12;11/07/2021;34258.99
1,62588E+12;10/07/2021;33502.87
1,62579E+12;09/07/2021;33815.81
1,6257E+12;08/07/2021;32875.71
1,62562E+12;07/07/2021;33862.12
1,62553E+12;06/07/2021;34220.01
1,62544E+12;05/07/2021;33690.14
1,62536E+12;04/07/2021;35286.51
1,62527E+12;03/07/2021;34669.13
1,62518E+12;02/07/2021;33786.55
1,6251E+12;01/07/2021;33504.69
1,62501E+12;30/06/2021;35045.0
1,62492E+12;29/06/2021;35911.73
1,62484E+12;28/06/2021;34494.89
1,62475E+12;27/06/2021;34700.34
1,62467E+12;26/06/2021;32283.65
1,62458E+12;25/06/2021;31584.45
1,62449E+12;24/06/2021;34663.09
1,62441E+12;23/06/2021;33678.07
1,62432E+12;22/06/2021;32509.56
1,62423E+12;21/06/2021;31608.93
1,62415E+12;20/06/2021;35600.16
1,62406E+12;19/06/2021;35483.72
1,62397E+12;18/06/2021;35819.84
1,62389E+12;17/06/2021;38092.97
1,6238E+12;16/06/2021;38349.01
1,62372E+12;15/06/2021;40144.04
1,62363E+12;14/06/2021;40516.29
1,62354E+12;13/06/2021;39020.57
1,62346E+12;12/06/2021;35546.11
1,62337E+12;11/06/2021;37331.98
1,62328E+12;10/06/2021;36675.72
1,6232E+12;09/06/2021;37388.05
1,62311E+12;08/06/2021;33380.81
1,62302E+12;07/06/2021;33552.79
1,62294E+12;06/06/2021;35796.31
1,62285E+12;05/06/2021;35513.2
1,62276E+12;04/06/2021;36829.0
1,62268E+12;03/06/2021;39246.79
1,62259E+12;02/06/2021;37568.68
1,62251E+12;01/06/2021;36693.09
1,62242E+12;31/05/2021;37253.81
1,62233E+12;30/05/2021;35641.27
1,62225E+12;29/05/2021;34605.15
1,62216E+12;28/05/2021;35663.49
1,62207E+12;27/05/2021;38529.98
1,62199E+12;26/05/2021;39241.91
1,6219E+12;25/05/2021;38324.72
1,62181E+12;24/05/2021;38796.29
1,62173E+12;23/05/2021;34655.25
1,62164E+12;22/05/2021;37449.73
1,62156E+12;21/05/2021;37252.01
1,62147E+12;20/05/2021;40526.64
1,62138E+12;19/05/2021;36690.09
1,6213E+12;18/05/2021;42849.78
1,62121E+12;17/05/2021;43538.04
1,62112E+12;16/05/2021;46431.5
1,62104E+12;15/05/2021;46762.99
1,62095E+12;14/05/2021;49841.45
1,62086E+12;13/05/2021;49670.97
1,62078E+12;12/05/2021;49631.32
1,62069E+12;11/05/2021;56670.02
1,6206E+12;10/05/2021;55816.14
1,62052E+12;09/05/2021;58240.84
1,62043E+12;08/05/2021;58862.05
1,62035E+12;07/05/2021;57314.75
1,62026E+12;06/05/2021;56393.68
1,62017E+12;05/05/2021;57436.11
1,62009E+12;04/05/2021;53200.01
1,62E+12;03/05/2021;57169.39
1,61991E+12;02/05/2021;56578.21
1,61983E+12;01/05/2021;57800.37
1,61974E+12;30/04/2021;57694.27
1,61965E+12;29/04/2021;53555.0
1,61957E+12;28/04/2021;54846.22
1,61948E+12;27/04/2021;55011.97
1,6194E+12;26/04/2021;54001.39
1,61931E+12;25/04/2021;49066.77
1,61922E+12;24/04/2021;50047.84
1,61914E+12;23/04/2021;51125.14
1,61905E+12;22/04/2021;51690.96
1,61896E+12;21/04/2021;53787.63
1,61888E+12;20/04/2021;56425.0
1,61879E+12;19/04/2021;55633.14
1,6187E+12;18/04/2021;56150.01
1,61862E+12;17/04/2021;60006.66
1,61853E+12;16/04/2021;61334.8
1,61844E+12;15/04/2021;63159.98
1,61836E+12;14/04/2021;62959.53
1,61827E+12;13/04/2021;63575.0
1,61819E+12;12/04/2021;59860.0
1,6181E+12;11/04/2021;60002.43
1,61801E+12;10/04/2021;59769.13
1,61793E+12;09/04/2021;58142.54
1,61784E+12;08/04/2021;58077.52
1,61775E+12;07/04/2021;55953.45
1,61767E+12;06/04/2021;57991.15
1,61758E+12;05/04/2021;59129.99
1,61749E+12;04/04/2021;58202.01
1,61741E+12;03/04/2021;57051.94
1,61732E+12;02/04/2021;58950.01
1,61724E+12;01/04/2021;58720.44
1,61715E+12;31/03/2021;58740.55
1,61706E+12;30/03/2021;58746.57
1,61698E+12;29/03/2021;57635.47
1,61689E+12;28/03/2021;55777.63
1,6168E+12;27/03/2021;55817.14
1,61672E+12;26/03/2021;55025.59
1,61663E+12;25/03/2021;51293.78
1,61654E+12;24/03/2021;52303.65
1,61646E+12;23/03/2021;54340.89
1,61637E+12;22/03/2021;54083.25
1,61628E+12;21/03/2021;57351.56
1,6162E+12;20/03/2021;58102.28
1,61611E+12;19/03/2021;58030.01
1,61603E+12;18/03/2021;57648.16
1,61594E+12;17/03/2021;58912.97
1,61585E+12;16/03/2021;56900.75
1,61577E+12;15/03/2021;55605.2
1,61568E+12;14/03/2021;58968.31
1,61559E+12;13/03/2021;61188.39
1,61551E+12;12/03/2021;57221.72
1,61542E+12;11/03/2021;57773.16
1,61533E+12;10/03/2021;55851.59
1,61525E+12;09/03/2021;54884.5
1,61516E+12;08/03/2021;52375.17
1,61508E+12;07/03/2021;50971.75
1,61499E+12;06/03/2021;48882.2
1,6149E+12;05/03/2021;48751.71
1,61482E+12;04/03/2021;48374.09
1,61473E+12;03/03/2021;50349.37
1,61464E+12;02/03/2021;48440.65
1,61456E+12;01/03/2021;49587.03
1,61447E+12;28/02/2021;45135.66
1,61438E+12;27/02/2021;46106.43
1,6143E+12;26/02/2021;46276.87
1,61421E+12;25/02/2021;47073.73
1,61412E+12;24/02/2021;49676.2
1,61404E+12;23/02/2021;48891.0
1,61395E+12;22/02/2021;54087.67
1,61387E+12;21/02/2021;57408.57
1,61378E+12;20/02/2021;55841.19
1,61369E+12;19/02/2021;55906.0
1,61361E+12;18/02/2021;51552.6
1,61352E+12;17/02/2021;52119.71
1,61343E+12;16/02/2021;49133.45
1,61335E+12;15/02/2021;47911.1
1,61326E+12;14/02/2021;48577.79
1,61317E+12;13/02/2021;47153.69
1,61309E+12;12/02/2021;47287.6
1,613E+12;11/02/2021;47969.51
