district;neighborhood;condition;type;rooms;area_m2;floor;prices;lift;views
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;Flat;2;70; floor 1;385000;Yes;exterior
Sant Martí;el Clot;good condition;Penthouse;3;99; floor 9;430000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;3;125; floor 1;590000;Yes;exterior
Eixample;el Fort Pienc;good condition;Flat;1;77;mezzanine;350000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;3;120; floor 2;1200000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;3;117; floor 2;540000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;5;242; floor 5;980000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;180; floor 4;860000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Penthouse;3;151; floor 7;690000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;Penthouse;2;151; floor 7;690000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;2;100; floor 4;640000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Penthouse;3;95; floor 6;790000;Yes;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;3;145; floor 2;560000;No;exterior
Gràcia;Vallcarca i els Penitents;good condition;Penthouse;2;108; floor 3;530000;Yes;exterior
Les Corts;les Corts;good condition;Flat;2;82; floor 4;862000;Yes;exterior
Les Corts;les Corts;good condition;Flat;2;98; floor 2;595000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;2;125;mezzanine;890000;Yes;interior
Les Corts;les Corts;good condition;Flat;2;67; floor 2;365000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Penthouse;4;118; floor 8;650000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;4;140;mezzanine;795000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;4;85; floor 2;420000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;5;200; floor 2;1400000;Yes;exterior
Sants-Montjuïc;Sants;good condition;Flat;3;88; floor 4;365000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;139; floor 2;595000;Yes;exterior
Sants-Montjuïc;la Marina de Port;good condition;Penthouse;2;59; floor 9;255000;Yes;exterior
Eixample;Sant Antoni;good condition;Flat;1;46;ground floor;165000;Yes;interior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;2;71; floor 4;369000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;4;136; floor 2;745000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Penthouse;3;99; floor 6;650000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Penthouse;3;99; floor 6;650000;Yes;exterior
Eixample;la Sagrada Família;good condition;Duplex;4;800;ground floor;1700000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;133; floor 2;750000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;3;385;ground floor;1450000;No;exterior
Sant Martí;el Camp de l'Arpa del Clot;good condition;Flat;3;75;mezzanine;230000;Yes;interior
Eixample;la Dreta de l'Eixample;good condition;Flat;2;105; floor 5;565000;Yes;exterior
Sant Martí;el Parc i la Llacuna del Poblenou;good condition;Flat;1;62; floor 1;390000;Yes;exterior
Sant Martí;el Clot;good condition;Flat;3;84; floor 1;290000;No;exterior
Les Corts;les Corts;good condition;Flat;4;101; floor 2;525000;Yes;exterior
Les Corts;les Corts;good condition;Flat;3;92; floor 6;375000;Yes;exterior
Les Corts;les Corts;good condition;Flat;3;88; floor 4;365000;Yes;exterior
Sant Martí;el Clot;good condition;Flat;2;45; floor 2;209000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;1;59; floor 1;199900;Yes;exterior
Horta-Guinardó;Can Baró;good condition;Semi-detached;4;250;Multiple;795000;No;exterior
Eixample;Sant Antoni;good condition;Flat;3;85; floor 2;389000;Yes;exterior
Sant Andreu;Navas;good condition;Flat;4;87; floor 3;307000;Yes;exterior
Horta-Guinardó;el Guinardó;good condition;Flat;3;76; floor 4;269000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;4;179; floor 2;765000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;4;149; floor 3;710000;Yes;exterior
Les Corts;les Corts;good condition;Flat;1;51; floor 1;280000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;152; floor 3;695000;Yes;exterior
Eixample;Sant Antoni;good condition;Flat;3;84; floor 1;359000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;good condition;Flat;3;92;ground floor;598000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;75; floor 4;365000;Yes;exterior
Les Corts;les Corts;good condition;Flat;1;49; floor 2;315000;Yes;exterior
Eixample;Sant Antoni;good condition;Flat;2;100; floor 5;535000;Yes;exterior
Gràcia;Vallcarca i els Penitents;good condition;Flat;5;260; floor 2;1050000;Yes;exterior
Horta-Guinardó;Can Baró;good condition;Flat;3;70; floor 1;239000;Yes;interior
