district;neighborhood;rooms;area_m2;lift;prices;compra;eurometro
Eixample;l'Antiga Esquerra de l'Eixample;5;150;1;850000;0;5666
Eixample;la Dreta de l'Eixample;1;150;1;850000;0;5666
Eixample;la Sagrada Família;3;97;1;550000;0;5670
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;3;67;1;380000;0;5671
Gràcia;la Vila de Gràcia;1;52;1;295000;0;5673
Sant Martí;el Camp de l'Arpa del Clot;2;52;1;295000;0;5673
Gràcia;el Camp d'en Grassot i Gràcia Nova;2;74;1;420000;0;5675
Sant Martí;el Poblenou;3;96;1;545000;0;5677
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;3;118;1;670000;0;5677
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;4;140;1;795000;0;5678
Eixample;la Dreta de l'Eixample;4;140;1;795000;0;5678
Sarrià-Sant Gervasi;el Putxet i el Farró;4;139;1;790000;0;5683
Gràcia;la Vila de Gràcia;3;190;1;1080000;0;5684
Sarrià-Sant Gervasi;Sarrià;4;235;1;1336000;0;5685
Eixample;l'Antiga Esquerra de l'Eixample;2;80;1;455000;0;5687
Sarrià-Sant Gervasi;el Putxet i el Farró;2;160;1;910000;0;5687
Eixample;la Dreta de l'Eixample;4;210;1;1195000;0;5690
Sarrià-Sant Gervasi;Vallvidrera - el Tibidabo i les Planes;8;483;0;2750000;0;5693
Eixample;l'Antiga Esquerra de l'Eixample;2;79;1;450000;0;5696
Eixample;l'Antiga Esquerra de l'Eixample;3;79;1;450000;0;5696
Eixample;l'Antiga Esquerra de l'Eixample;3;79;1;450000;0;5696
Sarrià-Sant Gervasi;el Putxet i el Farró;2;158;1;900000;0;5696
Sarrià-Sant Gervasi;Sarrià;1;43;1;245000;0;5697
Horta-Guinardó;el Baix Guinardó;2;100;1;570000;0;5700
Horta-Guinardó;el Guinardó;2;61;1;348000;0;5704
Eixample;l'Antiga Esquerra de l'Eixample;3;85;1;485000;0;5705
Ciutat Vella;el Raval;3;85;1;485000;0;5705
Horta-Guinardó;Horta;3;88;1;502500;0;5710
Gràcia;la Vila de Gràcia;1;56;0;320000;0;5714
Les Corts;Pedralbes;3;63;1;360000;0;5714
Gràcia;la Vila de Gràcia;3;70;0;400000;0;5714
Eixample;l'Antiga Esquerra de l'Eixample;3;77;1;440000;0;5714
Sarrià-Sant Gervasi;Sarrià;4;91;1;520000;0;5714
Sant Martí;la Vila Olímpica del Poblenou;3;94;1;537500;0;5718
Sarrià-Sant Gervasi;les Tres Torres;5;306;1;1750000;0;5718
Horta-Guinardó;Horta;3;92;1;526500;0;5722
